Community,"Baleska, We agree with you and according to the law, every Honduran has a right to eat! But, this quantity is not for personal consumption. These species are vital species for maintaining the health of the reef and for TOURISM...Parrotfish, Goatfish, Lobster, Angelfish and let's not forget that this is the same case that speared the baby green turtle! It's all fine and dandy supporting people that need to feed their families but let's not compare apples to oranges with artisanal fishing (poaching) and commercial fishing that is supplying restaurants!"
Community,Winners of the 2014 RMP Photo competition! There was some trouble opening the Prezi presentation so here are the winners in an easier format! \nThank you to everyone that submitted photos and a big CONGRATS to all the winners!
Community,please email us at info@roatanmarinepark.net and we can set up the order and delivery
Community,Here is a innovative approach to helping you cut plastic out of your lives. Including recipes on making your own shampoo and toothpaste too. Check it out. http://www.onegreenplanet.org/environment/life-hacks-to-help-you-cut-plastic-out-of-the-picture/
Information,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses within the SBWEMR for January 2015. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservation message, we would be unable to continue protecting Roatan's reefs"
Action,"Roatan han sido elegido como uno de los sitios para el programa de Liderazgo SAM para en a\xf1o 2014 con el enfoque del Manejo Integrado de Residuos Solidos.   \nSi alguna vez has pensado en como se puede ser la diferencia en nuestra isla o si solamente esta harta de tanta basura y falta de manejo de residuos solidos; esta es su oportunidad. \nDebes aplicarse al program de LIDERAZGO SAM 2014, FECHA LIMITE: 20 de MAYO. \n\n"
Information,We will be posting photos and prices of the final products in the next few days and can reserve as long as pick up is timely! :)
Community,"Within the Committee there are Biologists, Lawyers, Forestry Engineers in addition to 3 Marine Biologists and the Technical Units of all 4 Municipalities of the Bay Islands."
Information,Our little buddy at Maya Key! Gonna have a few months of rehab then back into the real world!! 
Action,Come visit our Eco Store in West End
Community,Possibility for seaside bars... What do you think?
Community,Thank You
Information,Melissa Ochoa Rolinger They do look very similar but these hatchlings are Hawksbill. You can tell by the scutes. :)
Community,The 3 prong spears are $30 and the 6 prongs are $45
Community,"Thank you Jackson for your quote in this nice article published by the Toronto Star :) \nhttp://www.thestar.com/life/travel/2015/04/17/roatan-honduras-floating-in-a-colourful-world.html?referrer=https%3A%2F%2Fwww.facebook.com%2F \n\n\u201cRoatan diving is so great because the reef is so very close (to shore) and it\u2019s been protected by an amazing marine park, so it\u2019s healthy and full of life,\u201d says Jackson, a native Honduran, who, with his Canadian wife, Amanda Holder, operates Scuba Roatan (www.scubaroatanhonduras.com )."
Information,"Please give us a call at 2445-4206, 2445- 4208 or email at info@roatanmarinepark.net"
Community,maybe lack of interest is the wrong word... more like lack of participation!
Community,It sure is!!
Community,"Don Keith We are interested in hearing your ideas and solutions to that problem. Eric George The Marine Park is enforcing the laws, but we are not the municipality nor the police. We are a small organization trying to make a difference. If you are unaware we are all connected and what one human does to OUR EARTH affects us all... so to say that they are slobs means that we are all slobs bc WE (the community of Roatan) are not trying to make a difference in either educating them differently or finding other solutions to the problem. We have TONS of problems and only a few solutions, you can chose which one you would like to be a part of but we urge you to be a part of the solution!"
Community,"the figures could be placed on 1 graph but we feel that this would make it too busy. We also chose to differentiate between shops in West Bay, West End and Sandy, and those elsewhere, therefore 2 graphs"
Information,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses within the SBWEMR between January and July 2014. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservation message, we would be unable to continue protecting Roatan's reefs"
Action,Photo of the week. We still have calendars on special... only $10
Community,"We welcome the NABS - The National Association of Black Scuba Divers to Roatan this week! We presented the organization and did some sign making, lion fish licenses and will do a beach cleanup on Friday! \nThanks to everyone we have more than 20 signs made! Great Job and Thank You!!! :)"
Action,Would you sign a petition to keep Roatan free of plastic bags?
Community,"We are on Pinterest ladies and gents! Follow and see all the great things we support. Lionfish recipes, plastic handicrafts, our favourite reef fish and many others  :) \n\nhttp://pinterest.com/roatanmarineprk/lionfish-recipes/"
Information,Together we can make a difference!!
Information,Only best find is judged by the public
Community,It sure is!
Information,"Roatan Marine Park, present on Pto Lempira sharing awareness about Sharks and other alternative livelihoods helping conservation."
Action,"It\u2019s that time of year again for the RMP underwater photo competition. You are invited to send 6 photos which can fall within any of the 6 categories. They must be taken by you, here on Roatan and underwater. Please attach a location, name and category for each photo submitted. The deadline is July 15th and all submitted photos will be available for viewing on facebook. The Best Find category will be judged by \u201cyou\u201d on facebook with the most votes winning that group. All other categories will be judged by independent adjudicators and the winners will appear in the 2014 RMP calendar."
Community,"As vote by you, our supporter, member and friend this Flying Gurnard has won 3rd Place in our BEST FIND Category! Congratulations @Jennifer Keck Hutton!"
Action,the calendar wil be available for order on line
Action,Only 2 weeks untill the 2010 photo competition draws to a close. View the attachment and get your photos in to have the opportunity of having your photo in a calendar\nhttp://www.roatanmarinepark.com/news/2010-rmp-photo-contest/
Community,"Please follow the link to attend the Tedx event on July 25th. Our director, Giaco Palavicini, will be a speaker!!  \nhttp://www.tedxtegucigalpa.org/"
Community,Happy Turkey Day to all those who have something to be Thankful for!
Community,Trying to send you a message but can't. Could you send us one and we will answer all your questions present and future :)
Information,"An other net taken out of the inner reef on the north shore of Roatan: Mono filament, 230 feet long and 9.9 feet high."
Community,Invitation to dinner with Dr. Sylvia Earle
Action,We are pleased to announce that we will be releasing a turtle today! \nThe turtle has been in captivity for a couple of months where concerned community members have been rehabilitating it as it is missing it's 2 back fins. He/She will be in West End and will be released in Half Moon Bay this afternoon @ 4pm!
Action,Bay Islands Coastal Cleanup
Information,i can assure you that this one definitely didn't make it safely away. we had a staring competition to begin with  but my spear was mightier than the spine\\
Community,Thank you :)
Action,"As part of the regional study on lobster populations that the WWF is making, a 15 day expedition has been organized to the Miskito Cays off the Honduran and Nicaraguan coasts. A dive instructor is required to attend this expedition that will be taking place from September 25th-October 10th, 2009. Transport, food and accommodation will be provided. If interested, please contact the RMP office in West End."
Information,"Around 5pm last night, we received a tip off from an informant that there was a boat setting a turtle net near Palmetto. With 3 Park Rangers and 2 Police, the boat sped east and confiscated the net. Our Rangers have been searching for turtle nets for some time so it is always good to have one less in the water"
Information,Just a quick update: They have extended the hours of licensing until 5 PM. There have been over 300 captains licensed in the last 2 days! We look forward to the final tally!!!
Community,"Andy Cunningham as we mentioned via email, please feel free to use our photos as long as credit is given. We did not rescue them but were involved in searching and logistics."
Community,Protect Our Pride Community Service project. Be on the look out for the new CIGARETTE BUT BINS (Ash Trays).  Great Idea and Great Job!
Community,Good question Alex Harper-Brown! Let me ask the printers and get back to you!
Action,We will have beach cleanups all year! Our candidates for Protect our Pride will be coordinating them all year!
Community,"Don't forget about our Pinterest page :) Check out our boards of Lionfish recipes, handicrafts, fun activities and more!! \nhttp://www.pinterest.com/roatanmarineprk/boards/"
Community,The members of Roatan and Utila deserve an applause for their commitment to protecting the reef ecosystem we all depend on.
Action,"Well, the beach was clean for all of 24 hours! In comes the new wave and with it all sorts of creatures!\n Due to the amount of sargassum in the bays we will be starting a ""T-shirt for a Turtle"" campaign! \nRescue a Turtle and get a RMP T-shirt! Contact Christi for more details 3289 1213 \nThank you OC for your rescue!"
Information,"This graph indicates in $, through the sale of user fees and memberships, how much each dive shop outside of Sandy Bay, West End and West Bay, generated for the Marine Park in 2013. We would like to say a huge thank you to all our supporters, big and small, and comment that without your support, we would be unable to fulfil even the simplest of our programs"
Community,Photo of the week! Taken 4 mins ago! Trash that has washed up on the beach of Half Moon Bay! This is only one beach that is like this and after only one storm!
Community,Check out our new video which will be played on local TV!
Community,Veronica at the big school in Sandy Bay (Addison School/escuela modelo) doing her presentation with 5th grade. By the close of this week she will have talked to EVERY GRADE!!!
Information,something to think about
Information,"Read all about what the RMP was up to in February including the turtle rescue in Paya Bay, meeting with fishermen from around the island to plan fisheries management, the new lionfish license regulations and much more...\n"
Community,"We have Lionfish Licenses that need to be picked up! \nIf you see your name, face or know how to get a hold of any one of these fabulous hunters please let us know!"
Action,There is a new change in our Lionfish License Workshop! \n\nWe have been asked by many people to do workshops in the first days of their vacation so we will be offering 2 workshops on SUNDAYS one at 8AM and one at 10AM and throughout the week as needed with a minimum of 4 people. \n\nPlease sign up in the office upstairs :)
Community,"Hola Jerry!!! Saludos de vuelta hasta Teguz? Cuidate, Grazzia."
Action,"The Roatan Marine Park will be working with the Patronato (community council) of West End this Saturday for their fundraiser!! We will be helping with the kid activities which will include 50lps all day use of the inflatable slide, a mini beach scavenger hunt for teens, crab races for the whole family and a sand castle building contest if we have the interest!!! Do you guys think there is an interest? \n:) Saturday 11-5ish! Half Moon Bay, West End... See you there!"
Action,"Do you live in the Mesoamerican Region? Have you ever thought about why more things don't get done to protect the mangroves? Maybe you have a project in mind and just need some help developing it! If so, THE TIME TO DO SOMETHING IS NOW!!! \n\nThe MAR Leadership Program is now open for submissions! This year's theme is Mangrove Valuation and Conservation! \n\nFollow the link for more information! Let's work together to make a difference! \n\nhttp://liderazgosam.org/general-information/?lang=en"
Information,The species of the winning photos  will be listed in the calendar which will be on sale in late 2012.
Information,"Today while patrolling near Turquoise Bay, our Park Rangers spotted an empty dory and a man in the water. Upon inspection, we found 7 undersized lobster, 5 live conch, 19 speared fish and worst of all a live, speared juvenile green turtle on board. The dory with all the product was confiscated, along with a speargun and a hook rod which were found in the water. The turtle is currently in Maya Key but it doesn't looking promising as it was shot in the lung. A case will be filed regarding the incident and we will have to work further on relations with the fishermen from Punta Gorda"
Action,"Attention all photographers, its that time of year again with the launch of 2013 underwater photography competition. Have the chance of your photos being in the 2014 RMP calendar."
Community,J.c. Martin Cabrera Deheza We have not received your photos. Please contact us ASAP if you feel this in incorrect. Judges are being given photos this week!
Community,Our intern Veronica and POP Diver JJ planting the last 108 mangroves of the night!!! :) It's dark out! That's dedication :)
Community,Getting into the Christmas spirit!
Community,"Si, cuanto necesitas?"
Community,Thank you Roatan News Network :) 
Community,"No, sorry. We have adrenaline, if that would help you!"
Community,4-Aug
Information,"After the success of confiscating the turtle net, while the patrol boat was up east, the Rangers decided to head further up the coast and managed to confiscate another net, this time a huge monofilament net. They also found a fish trap which had just been set"
Community,If you watch the video they explain it as the one that loses has to immediately start looking for enough food to support the off springs and the winner gets to simply swim away.  Reminds me a lot of some people!!
Action,Are you a dive professional interested in turtle monitoring?  There are a lot of empty chairs... come on down!
Information,"please call the office on 2445-4206 , email us at info@roatanmarinepark.net or come by the office in Half Moon Bay and collect what you need"
Community,Gonna be stuck inside on a rainy/snowy day?? Check out our Pinterest Fun Activities board for some beat the blues things to do!\nhttp://www.pinterest.com/roatanmarineprk/fun-activities/
Information,"Check out the latest additions to the dive moorings in Sandy Bay, Robin's Nest neat Gibson Bight and Deja Vu near Four Sponges. The Nest was named by one of our  latest Gold Individual members and is a great site for swim throughs. Deja Vu was purchased during our Birthday Party in the auction and has an awesome swim through directly below the mooring which takes you from the shallows all the way to the wall (>50m)"
Information,"DO NOT VOTE ON THIS ALBUM! Please note that this is not the album that will be open for LIKES. We will post a new album shortly of the top 20 photos chosen by the RMP staff based on how rare and unusual the find actually is. We will then be asking you, our friends and members, to vote on your favourite of those 20! \nPlease keep your eyes and ears open as LIKING will only be open for ONE WEEK!!!"
Community,"Fisheries management needs to step up to the plate. Even with regulations on lobsters regarding size, season etc, the majority of restaurants sell undersized lobster, <5.5 inch tail which is illegal, and do not buy them off respectable dealers. Banning conch would only fuel a black market on them"
Community,Sure we shared this months ago. Why wait for those Coca-Cola packs to get here?? \nMar Leaders where you at?? :)
Information,Not good for Hamacas...
Community,We would like to say thank you to all our supporters. We would be happy to meet with owners and  staff of shops that have trouble selling the user fee or need further convincing. We have materials such as posters and brochures available to all so please email if you need these.
Information,We need it in Roatan.
Information,"The belly meat is the most tender part of  fish, just like people pay big bucks for otoro, or tuna belly. The muscle in the pectorals almost have a soft shell crab taste to it and taste great deep fried. These parts are discarded when people fillet the fish so this ensures nothing goes to waste."
