Information,These fish were not directly killed by human hands but were being washed on the beach and were being collected my kids on the beach until we warned them about the dangers and told them to stop!
Community,For those of you that didn't get a chance to make it to the lionfish cook-off... These were the entries. Who do you think won??
Community,We have 7 plastic bottle and aluminium can recycle bins available to anyone willing to take charge of them. They may be used for everyday trash so you may have to clean them once in a while. We can deliver if you don't have a vehicle!
Action,"Bring a Bag, get a Bag Challenge is still going on... we have 2 more gorgeous RMP bags to give away. All you have to do is bring in a bag of OCEAN PLASTIC (plastic from the sea) or MARINE DEBRIS!!"
Community,"Wish you were here diving in Roatan? Click play and see the high fish abundance, coral cover, and dramatic topography in this area. Thank you Joseph Pawlik for this great video.  https://www.youtube.com/watch?v=1JzdYwO2YGo&feature=youtu.be"
Community,Turtle Thursday! Have a spare minute? Why not try this turtle origami? :)
Community,: Welcome to our new page!  Please become a fan.
Information,"We are so proud to have signed the National Marine Park Co-Management Agreement, we are looking forward to continue to working together to protect Roatan and the Bay Islands. The second largest protected area in Honduras. Together we can make a difference! http://www.diarioroatan.com/node/6472"
Action,Friday mangrove planting at the Inn of Last Resort with Platanar and Diamonds International!
Community,#natureisspeaking are we listening?
Community,Do you want jelly fish soup? Watch this video about the importance of marine reserves and why they work . It's time to take action http://wildaid.org/video/importance-marine-protection
Information,It is a shame that so many have died this season. We are investigating their reproductive cycle and the very real possibility of survival of the fittest.
Community,Not yet... 
Action,"It's amazing. Too many auction items and prizes coming in. It's getting very exciting. Place your bids now, or see you at Bananrama for the live auction!"
Community,"Hi Amilcar, you can call me on 32856040. If you give us more information we can try find someone to help with this. Thank you!"
Community,"There have been two great reviews about Roatan this week. We are rated #3 of the WORLD'S Top Islands! Yes, you read that correctly, the WORLD; by both CNN and Tripadvisor! \nThere is no way Roatan could be what it is without our beautiful coral reefs so THANK YOU to everyone that protects them day in and day out! There are days that it feels like a losing battle but we now have a bit of recognition for all the hard work! \n\nhttp://edition.cnn.com/2015/04/21/travel/tripadvisor-best-islands-world-feat/index.html\n\nhttp://www.tripadvisor.com/TravelersChoice-Islands"
Community,"Right now it's just Enomis, we are hoping the word spreads."
Community,Seagrass is amazing... what if we each saved only one hectare?
Community,"We would like to thank our newest Individual Gold Member Buck Beasley. Living near Polytilly and diving with Subway Watersports, he thought it would be nice to have a dive site which the family can see from their house and dive when they could. The mooring, Beasley's North 40, is located just to the west of Polytilly channel and sits in 25ft, close to the shallow reef with gullies leading down to the deep sand patch"
Action,Entries to have people's photos in the 2010 RMP calendar
Information,Grouper's Last Stand
Community,Don't forget to tag us in your photos for a chance to be photo of the week :)
Community,Thanks Allison! We miss you guys down here! :) ~ Christi
Information,"A large number of the dolphins were born at ARK so they no difference between captivity and freedom. To my knowledge the dolphins are well looked after and the staff at AKR prevent stressful incidents occur as a stressed or unhappy dolphin will not perform. \nIt is completely up to you whether you want your kids to visit the dolphins or not. Some people hate zoos as they house wild animals which were taken from their homes. Many of these dolphins  know no better, are well fed and looked after. \nAKR have been running dolphin encounters for years so its definitely not a cowboy operation. \nHope this helps and enjoy your time on Roatan"
Community,How many baby turtles do you see?
Community,Anyone can come! :)
Community,"Perfect Nuria, We are delievering a box to Blue Bahia as well so we will be by today :)"
Action,"Check back regularly to see the submissions for this year's photo competition.  Winners will be announced in August and featured in the 2010 RMP Calendar, which will be available in late Sept. \n\nNames of the submitters will not be shown prior to judging so as to not bias the results."
Community,"Is it too late to turn the tide on lionfish, here on Roatan, I hope not http://www.tribune242.com/searchresults/02022010_nkn-lionfish_news_pg3"
Community,"Effective leadership is not about making speeches or being liked; leadership is defined by results not attributes.\r\nPeter Drucker\r\n\r\nThank you Herbito Woods  for being only the 3rd person to take advantage of our ""bring a bag, get a bag challenge""!!"
Community,The numbers are in and we challenge you aim high! Graphs of who are the front runners are coming up... See where you stand and set your goal a little higher for March! Great Job to everyone!
Action,"On Saturday 26th March 2011, lights will switch off all around the globe for Earth Hour. Join the cause by celebrating Earth Hour 2011 with the RMP en Punta Gorda! Come to the beach after the bridge from the main entrance at 6:30pm. Drums, punta, food, bonfire, fire dance, all for the planet! One person has the power to make change, you can make the change. See you there!"
Community,Do you know what you're eating?
Information,"The remains of a 600ft roll of rope which was opened yesterday. New lines at the Odyssey, deep Bear's Den, the Wife, and more."
Information,"The turtle involved in the incident near Turquoise Bay last Friday is doing remarkably well considering the wound it suffered. With care from the staff at Maya Key, she had been eating and responding well to the antibiotics which is keeping infection at bay. Lets keep our fingers crossed she makes a speedy recovery"
Information,We will let everyone know :) Tyll's Dive Roatan
Community,"Our candidates for Protect Our Pride, dive program for English speaking Hondurans, are doing great things! Last Friday Edgard Antunez a resident of Mud Hole and a tour guide at Upachaya organized a school presentation and beach cleanup! I think we are on to something here, ladies and gentlemen... Great Job to everyone that helped out! \r\nMore updates to come!"
Action,We are also looking for any other vinyl type materials!!
Information,"We do not know who it was selling them. Unfortunately we cannot press charges but fortunately we got them alive from Mary at Barefoot Divers, Roatan. and they are in great hands at Maya Key!"
Community,"Thank You to the West End Patronato, South Shore Canopy, Sundowner's Beach Bar, CORAL, CEM, Cannibal Cafe, Argentinean Grill, Buena Vida, Cafe Escondido, Waves of Art, Guatemalan Gift Shop, Coconut Tree Divers, Enomis Divers, Ocean Connections and West Bay Divers."
Information,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses outside the SBWEMR between January and September 2014. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservation message, we would be unable to continue protecting Roatan's reef"
Action,Ladies and Gentlemen... the first 5 ppl to bring in a bag full of marine trash (plastic) will be given one of these bad boys :) Please contact Christi upstairs in the office or at 3289 1213 to redeem your prize!
Action,last days to get your entries in!
Information,"We are shocked to hear about the violent passing of a beloved friend and supporter, Patrick Zing. He was a kind person and during his time here on Roatan, was involved or responsible for introducing thousands of people to the underwater world. He will be greatly missed and we hope that all those who knew or worked with him will offer thier condolenses to his family who is travelling to Roatan to address this tragedy. A true friend and supporter has been taken away from us all"
Community,"With your help, we managed to bring in almost 1300 lionfish during the Derby. And a big thanks to everyone that came to the Cook-Off. It was an amazing turnout. Let's hope we have enough lionfish next time!"
Action,"Heartbreaking but a powerful reminder of why we do what we do! To prevent things like this is why we work so hard and deal with so much stress! \nPlease support your local environmental NGOs, they are doing it for the greater good!"
Information,Well this is one way to get the message across!! No cigarette butts on the beach please!!!! :)
Action,CALLING ALL FREE LABORERS!!! (volunteers) \nWe will be needing help on Monday April 16th to help with our conch breeding tank. \nWe need to fill the bottom with sand and sea grass. \nIf you are interested in helping out contact Nick @ 3320 6940 or Christi @ 3289 1213
