Information,"The graph indicates sale of the ""user fee"" by dive shops and businesses within the SBWEMR in January 2014 and does not include user fees on consignment, memberships, t-shirt sales or lionfish licenses. We would like to thank all our supporters and highlight that without you promoting our conversational message, we would be unable to continue protecting Roatan's reefs."
Action,"time is running out, send your photos in, maximum of 5 per person, for your chance for your photos to appear in the RMP 2010 calendar"
Community,It's a toadfish :)
Community,Thank you Jennifer Keck for this shot! It earned 3rd place in the Best Find category with this beautiful Flying Gurnard!
Community,y chancletas :)
Information,A great new webiste on lionfish
Information,between the 4 of us we caught over 150 lionfish. More than 10lbs of cleaned meat
Information,"Every year thousands of marine species die from contact with ocean-borne plastic bags. The animals may mistake the bags for food, such as jellyfish, or simply become entangled. Plastic bags can take up to 1,000 years to break down, so even when an animal dies and decays after ingesting a bag, the plastic re-enters the environment, posing a continuing threat to wildlife. \r\nWhile most plastic bags eventually break down into tiny particles, smaller sea creatures may still eat the sand-sized fragments and concentrate toxic chemicals in their bodies.\r\n\r\nTrying to reduce the use of plastic bags and its negative impact the RMP has of officially launched the Bags for Life Campaign.\r\nYou can purchase your Bag for Life at the RMP Eco - Store, Eldons supermarket, Mangiamo, and Plaza Mar.\r\n\r\nReduce your Footprint\r\n\r\nSay no to Plastic!!!"
Information,"Semana Santa Operative meeting at the Municipality... Proud to be a part of safety during Semana Santa! \r\nIf you have any Health (fire, police) related Emergencies please call COE (Operation Center for Emergencies) @ 2445-1972 or call Roatan's Vice Mayor Elsa @ 9986-6626\r\nIf you have any Marine related Emergencies call our Director Giaco @ 3171-5982 or our office @ 2445-4206 or 4208"
Community,Photo of the Week! Photo by Michele Akel
Community,"Mangroove.... The Mangrove Monitoring team! Combination of many different island organizations!!! Zolitur, BICA, Healthy Reefs, RMP, and the carbon sequestration team of OSU :) Thanks Tyler and Rupesh for teaching us the protocol!!"
Community,Aqua Bryan if you sent them to info@roatanmarinpark.net we got them. Thanks :)
Action,Have some time after Semana Santa?? We will be having a beach cleanup on Tuesday the 2nd of April! \nContact Christi if you are interested in participating...
Action,"FINALLY HAS THE 2010 CALENDAR IN STOCK AFTER WAITING ALMOST 2 MONTHS FOR DELIVERY, THEY ARE ONLY $15 SO IF YOU WISH TO PLACE AN ORDER, CONTACT US AT info@roatanmarinepark.net"
Community,Photo Competition is now closed!!! Please be in the lookout for our UPDATED BEST FIND CATEGORY to like your favorites!!
Community,The RMP wants to thank and recognize the constant effort that the Family Arch has been doing on protecting the area of French Harbor. Today is no different they stopped an illegal fishermen from taking 56 Conch They call us and got all the info to work with them to stop this. This is the real Island Pride. Thank you.
Information,"All of the Iguanas where alive, a little banged up but still active as we set them free"
Community,Eugene Wu... to kill tourism.... that's why you would kill a queen angel! (most locals will not eat them as their meat is tough!)
Community,its not only to the RMP to do something is about all helping talking to tourist not to buy it. To create shame and close the market for it and that cant only be done by us it needs to be a joint effort with the community.
Community,Copyright Kelly Hale\r\nRoatan Marine Park  Annual Photo Competition 2011
Action,We are asking every shop around the BAY ISLANDS to do at least one dive on Sunday that is a specific cleanup dive!
Information,"Working with the navy, our patrol boat traveled east early yesterday morning to catch any unsuspecting poachers off guard. We were fortunate enough to confiscate a large monfilament net close to the golf course and some hook rods in the same area. It's been a good week regarding nets for the RMP patrols"
