Information,"We have just gotten word that a well know seafood distributor on the West Side of the island is passing off shark as ""fish fillet"". \n\nPlease make sure you know what you are buying! You might be putting yourself and your customers health in danger not to mention aiding in the breaking of the shark protection laws! \n\nBe careful and know what you're eating!!"
Community,Courtney Hurt that is great! One day we will get there! Hopefully! Chris Benson what I mean by refresher is that it will be a smaller group of employees as we have trained the bulk already... instead of 35 ppl per workshop should only be 15-20.
Community,Photo of the week! 2nd Place Reef Inhabitants. Photo courtesy of Brian Maga\xf1a!
Community,"I am very proud of this young man's instructor! Happy Birthday Derry! We need more kids like you in this world!! :) -Christi \n\nI see children, all children, as humanity's most precious resource, because it will be to them that the care of the planet will always be left.  Alice Walker"
Information,Good morning friends and supporters! \nYesterday was a great day and just in case you are feeling under the weather today here are some easy ways to feel a little better :)
Community,Voting is now closed but we will leave this album up for your enjoyment plus there are some really great comments on the photos that I just can't delete! :)
Information,Read our Summer 2015 Newsletter here: http://issuu.com/roatanmarinepark/docs/summer_2015/1
Information,Cool fact...
Action,Come visit our Eco Store in West End
Information,Three turtles which had been rescued from the cooking pot by Jimmy from Camp Bay were taken to West End for release
Information,A local beach on the southside of the island taken during a beach cleanup...
Community,view the other links on the Marine Park facebook page for recipes 
Community,Goggle eyes is what they said
Community,"Here is an article of the state of sharks in our country, why it is dangerous to eat shark and that you never really know that what you're eating! It may be generic ""fish cakes"" or ""salted, dry fish"" but make sure you ask what kind of fish it is made of! \nThis is very relevant during Holy Week! \nBe smart, be safe, save the sharks!!!"
Community,The conch were still alive and were relocated. Mic Campbell The legalities for arresting people and actually imprisoning them is sadly inadequate here. Pretty much any serious crime results in the perpetrator spending only 24hrs up on the hill. We have spent days trying to prosecute people and unfortunately very little ever happens as a result. we do what we can and await the day that 24hrs in jail becomes the minimum time for incarceration.
Community,It's pretty amazing!
Community,I will change that when i order up the next batch of name cards
Information,"90 captains showed up today to register and receive their licenses. \nIf you didn't get a chance to come today please make an effort tomorrow. \nAll you need to do is come to the Port Captain's office in coxen hole, bring your ID plus a copy and Lps 100 between the hours of 8 AM-1 PM\n\n90 capitanes se presentaron hoy para inscribirse y sacar sus licencias.\nSi usted no recibi\xf3 la oportunidad de venir hoy por favor haga un esfuerzo ma\xf1ana. Todo lo que necesitas es presentarse a la oficina de la Capitan\xeda de Puerto en Coxen Hole entre las horas de 8AM-1PM, traiga su identificaci\xf3n y una copia y Lps 100."
Community,Whadda say?
Community,Congratulations to all winners!!!!
Information,Bonus Category 2 of 2
Action,"Check back regularly to see the submissions for this year's photo competition.  Winners will be announced in August and featured in the 2010 RMP Calendar, which will be available in late Sept. \n\nNames of the submitters will not be shown prior to judging so as to not bias the results."
Community,Sorry guys I guess I cant message you :(
Information,It's just out there in the plastic ocean...
Community,"The RMP office and eco store have a new sign displaying all of our Business Members and our Gold and Silver Individual members. We would like to say a huge thank you to all our supporters and if you or your business would like to support our cause, please contact us at info@roatanmarinepark.net"
Community,The Winners of the 2013 Lionfish Cook Off are... (drum roll please)... Mayan Princess with The Landing coming in a close 2nd and Lionfish Louies in 3rd!!!  Congratulations are in order to all the restaurants! Great job guys!
Community,"VAlerie Nelson I cant send you a message :( we are planning to do another cleanup on Friday 8-10! Hope that is enough time for you, we would love the extra support!"
Information,The latest newsletter is out. Please follow the link to find out what we have been up to in February
Community,Check out The Bay Islands Responsible Seafood Guide promotional video.. it's full of information on why it's so important to be a responsible when you are consuming seafood. Thank you Go Blue Central America Geotourism for all your hard work.
Community,"Hi Perla, if you watch the ted talk on this link he explains a lot of the challenges faced and the justification that resulted from his study to overcome them."
Action,"We've had our first bid come in on the trip to Cayos Cochinos for two!  Check out the items, make your bid and good luck! Keep an eye out for more items coming up soon!Thanks to our supporters for all these amazing donations!!"
Community,"After the incident that took place in half moon bay this afternoon, we are looking for the set of dive gear that hopefully was recovered either inside or just outside the lagoon. If you, or someone you know found it, please contact us."
Community,Don Keith what do you mean? Please clarify bc it sounds like you are accusing our Park Rangers of poaching!
Community,We came out... it was a female pygmy sperm whale. We also buried it to avoid any incidents with it and it's gases.
Community,"they will be entered tomorrow, sorry for the delay"
Action,"We understand that 3 is normally too early for diveshops but for those of you that can make it please do as, 4 is too late for water taxis and we are trying to get to everyone!"
Action,You can paypal to info@roatanmarinepark.net and just note that it's for Turtle Donation
Information,The total of lionfish caught between this weekend and last was just shy of 1300. The largest of those was caught by Reno and measured 36.12 cm long.
Information,"The species in this guide are there due to their fishery and sustainability within the Bay Islands. The tuna fishery here is very sustainable, as they are caught by rod and reel and are seasonal!"
Community,Ocean & Reef Affairs what is your post referring to? We will like you however your post feels almost condescending... were you replying to something that maybe was deleted?
Information,"San Simon, West Bay"
Community,Congratulations to all those that entered the photo competition. Results will be made at the RMP Beach Party Fundraiser taking blace at BananaRama on August 22nd
Action,Don't forget we have ponchos for sale at our Eco Store.. perfect for rainy days like these. :)
Community,For the record THIS IS NOT ON ROATAN! If it was you would see us all out there taking photos and videos! :) :) \nKate Rister Thank you for clarifying common misconceptions! Your passion shows through your words!
Community,http://deepseanews.com/2011/01/whats-eating-you/\n
Information,These are the bracelet sales and memberships of businesses on the southside and east end of January and February 2013... Thank you everyone for your support!
Community,Click LIKE and SHARE to dispel the myth that humans have more to fear from sharks than the other way around..
Information,"Our dearest followers, \nWe regret to tell you that our landlines (telephones) are still out of order. After countless visits to Hondutel we are still without their vital communications. \nWe are still contactable through the RMP cell phone 3349-4138 and our personal phones (if you have those numbers). Please feel free to call and report anything to our cell.\nHaving no landlines won't hold us back!! \nSincerly, \nRMP staff"
Community,Thank you Ron Caswell for the photo! You and Rino are famous!!! Well at least in Honduras! :)
Community,We found out the guys were released. We are gutted!
Action,Save the date! 22-24 May 2015. 6th Annual Bay Islands Coastal Clean up. We're looking forward to it!
Information,"Food for thought...  ""If not me, who? If not now, when?"""
Community,"What are the three basic principles needed for guaranteed long term sustainability? Environmental protection, economic growth for all stakeholders, and overall respect of the socio-cultural authenticity of the host community. Learn all about it at Go Blue Central America Geotourism"
Action,"Yesterday we saw a young local woman in Coxen Hole with one of our bags. We complemented her and asked her were she got it, to which she replied ""At Plaza Mar, and they're only 80lps!""\nIf you haven't bought your reusable shopping bags yet, they are available at Plaza Mar, Eldons and the Marine Park's Eco Store in West End"
Information,"We stopped the first big boat with cayucos in french cay thanks to the support of the community of French cay and the problem is that who coordinates the sea cucumber trade has a research permit but it only applies for the main land Honduras fisheries, not on the Bay Island because it has been declared a Marine National Park. Still unfortunately there is a lot of pressure of Asian market and this is and will be one of our strong problems on the Island."
Information,Todas nuestras capturas se reportan a DIGEPESCA y en el caso de delitos ya graves a la FISCALIA
Action,We're gonna party like it's your Earth Day!
Action,"Thank you to everyone who made it out to BananaramaDive Beach Front Resort for the announcement of the 2014 Photo Competition Winners! \nFor those that could not make it and/or are off island you can click on the link below for the presentation of the winners! \nThank you again for all the submissions and love! \n\n<iframe src=""http://prezi.com/embed/pn75ls6l7nqp/?bgcolor=ffffff&amp;lock_to_path=0&amp;autoplay=0&amp;autohide_ctrls=0&amp;features=undefined&amp;disabled_features=undefined"" width=""550"" height=""400"" frameBorder=""0"" webkitAllowFullScreen mozAllowFullscreen allowfullscreen></iframe>"
Community,"Whooo hoo! \nRoatan is rated #1 in Marine Environment, #4 in Beginner Dives, #5 in both Shore Diving and Visibility and #6 in both Overall Diving and Overall Destination!!"
Action,"<iframe frameborder=""0"" height=""510"" scrolling=""no"" src=""http://www.e-activist.com:80/ea-action/widget?widgetId=332"" title=""Sign Petition Widget 2"" width=""291""></iframe>"
Action,"Ever wanted to see how many ways lionfish could be prepared by some top Roatan chefs, now you can? Come to San Simon this Wednesday and see how Buena Vida, Rendezvous, Mayan Princess, Bight on the Beach, Lionfish Louie's and one or two more restaurants serve up this invasive species. You will be the judges so get there 6pm as there will only be 100 plates."
Community,You can check us out on Pinterest for Lionfish Recipes... :)
Community,"Just to clarify, these babes were rescued from going the wrong way out of their nest, they followed the lights on private property. Kevin Hildum yes, were dry but not abnormally!"
Community,"The lionfish film, 'Carribean Invasion', that was made last year here on Roatan, received an honourable mention in the Blue Ocean Film Festival awards list - Emerging Filmmaker category. \nhttp://www.blueoceanfilmfestival.org/film_catalogue.htm"
Information,Diamonds International Honduras
Information,"2 minors were caught spearing fish in Mangrove Bight in Flowers Bay. Their gear was confiscated and as they were underage, they were made to pick up trash."
Community,Nick or Christie will be able to help you.
Community,Any reports on coral spawning?  We want to know :)
Action,Only 2 weeks untill the 2010 photo competition draws to a close. \nSend your photos (maximum of 6 per entrant) to info@roatanmarinepark.net\nhttp://www.roatanmarinepark.com/news/2010-rmp-photo-contest/2010
Information,THE THING....
Community,"He didn't, not yet... he just has to go pick them up..."
Information,It is not against program regulations nor against the law as long as it is purchased while season is still open or from a supplier that stocks up while season is still open.
Community,"As voted by friends, members and supporters of the Roatan Marine Park this is this year's BEST FIND!!! Congratulations Donna Pieracini!"
Action,Save the date! We are really looking forward to the report on the health of the Mesoamerican Reef 2015!
Action,"Perfect way to start the day!! Keep you eyes open for them on all sides of the island. Then, come on down to Banarama for the announcement of the winners of the 2014 photo competition!! FREE Shuttle from West End entrance at 6 presentation starts at 6:30!"
