Community,"please email us directly on info@roatanmarinepark.net and we can discuss sizes, colors etc"
Community,The mangroves are one of the most efficient and important plants in the world and we are destroying faster than they can grow! \n\nSee just how important they are in this latest blog! \nhttp://m.huffpost.com/us/entry/6114596
Community,We will send a staff member to speak to Mayan Divers.
Community,"We want to say a BIG THANK YOU for the great donation we have received from The School of Environmental Studies at the Minnesota Zoo who raised funds through ""penny war"" and chose to donate to us after learning about our community and environmental programs. Another BIG THANK YOU to St Georges School in Montreal for their great donation, they raised money over the past year by running several bake sales at their school and came to Roatan for a coral reef ecology course. We hope these students are inspired to become the conservationists of the future. Thank you again for all of your support."
Action,We are aiming for 5:30-6... They are on their way back now... 4 Turtles!!!  Special Thanks to Jimmy from Camp Bay!!
Community,We didn't see them. But there were 2 yesterday and 2 this morning
Community,Only a few more days to check out the Coral Reefs of Honduras Exhibition at the Museo para la Identidad National! Exhibition closes on the 21st of Sept! \n\nIf you go please tag your photos #hondurascoral \nWe look forward to seeing your posts!!
Information,"Happy Monday fellow conservationists! \nAs we all know Semana Santa (Easter Week) is approaching... The RMP is hard at work in order to absorb some of the impact of National and International tourists that flock to the islands during that week. \n\nWe are reinforcing swim zones in West Bay and West End, providing informative signage (indicating zones, speed limits, protected area, no dumping, no littering, put your cigarette butts in the right place,...among others ) throughout the Sandy Bay- West End area, Reinforcing our Responsible Seafood Guide with existing members and new members alike, chatting with Marine Recreation Providers and their new staff they will have for the week, Planning our strategy for patrols and will need volunteers for extra beach awareness, and will have specials in our ECO Store for eco conscious tourist including sunscreen and bug repellant. \n\nWe are working on these things now and are positive more things will come up (if you have any recommendations, they are welcome) that need to be addressed as well but, we are up for it! BRING IT ON SEMANA SANTA!!! :) \n\n~RMP Staff"
Community,"""... the men admitted that they had to poach..."" Please see the comment in its entirety  Eric George"
Community,"We would like to thank our newest Individual Gold Members Greg and Cris Buscetto who named their dive site Wicked Pissa after their favorite show Wicked Tuna. Located at the far end of Sandy Bay opposite Blue Harbor, the mooring sits in 35ft in a in a crack next to the shallows."
Information,The seahorse trade is booming!! Please help out our ecosystem by spreading the word so no one else buys them either!!!  67 have been confiscated this year alone!! That's 2014!
Community,"Thanks Dian Lynn, 2015 is shaping up to be a great calendar!!"
Information,"DO NOT VOTE ON THIS ALBUM! Please note that this is not the album that will be open for LIKES. We will post a new album shortly of the top 20 photos chosen by the RMP staff based on how rare and unusual the find actually is. We will then be asking you, our friends and members, to vote on your favourite of those 20! \nPlease keep your eyes and ears open as LIKING will only be open for ONE WEEK!!!"
Community,"It is a point that we have considered Laurence but all members go through a process called the Environmental Walk-through which gives us information of what they buy, how much and where they buy. We also work hand in hand with Digepesca and seafood distributors to know what products are available and what quantities. We know who the good distributors are and even where they get their product from. As of now the program is small enough were we can keep track of this issue. As it grows it may be re-considered."
Action,"Get your tickets today! You can buy them for $12 at Sundowner's Beach Bar, Coconut Tree Mini Mart, Mangiamo Deli, San Simon Beach Club and at our Eco Store in West End. Remember there will only 100 plates of delicious lionfish so get your tickets while they last!!!"
Community,"Only 2, one in west bay and the other by Barefoot. Both are happy and eating like hunrgy hatchling over at Maya Key"
Community,Ok... would we need to order them or do tough think you could pick them up and we can pay you when you get here?
Community,There have been many questions concerning best seafood practices and we just want to remind everyone that there is a guide in place for the Bay Islands. \nIf there are any inquiries on how to become a member of the Responsible Seafood Guide on Roatan please Contact Christi at 3289 1213 or for any further information please feel free to check out the The Bay Islands Responsible Seafood Guide FB page :)
Community,Photo of the Week :) This Under the Sargassum photo by Mish Akel won her an Honorary Mention and can be found on the July page in the 2014 RMP calendar!
Information,"This individual was not thinking about his children, for if he was he would have taken only what they needed to eat to ensure food for tomorrow! If these small , some are juvenile fish (and juvenile turtle) are not left on the reef to reproduce THERE WILL BE NO FOOD TOMORROW!"
Community,"Only 151 more likes to make it to our end of year goal of 7,000! Invite your friends to like our page!! Share the love!"
Community,That would be a great help!
Information,Winning photos which will appear in the 2011 RMP calendar
Community,With representatives on island there was a meeting open to all members of the www.gobluecentralamerica.org site! It was a good time with good food and good people!
Community,Thanks to everyone... apparently it's not as 'basic' as was once thought...
